State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
Himachal Pradesh,2020,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Hamirpur,Character witness testimonies,Metropolitan Police Department,Open,Not convicted,Yes
Sikkim,1992,Forgery,Forgery of legal documents for identity theft,Namchi,Eyewitness accounts,Fraud Investigation Unit,Open,Convicted,No
Chhattisgarh,1985,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Raipur,Property ownership documents,Cyber Crimes Unit,Open,Partially convicted,Yes
Punjab,2007,Money Laundering,Shell corporations established to disguise illicit funds as legitimate income,Jalandhar,Medical reports,Special Operations Division,Open,Partially convicted,No
Kerala,1993,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Alappuzha,Phone records,Traffic Enforcement Unit,Closed,Convicted,No
Telangana,1978,Hate Crime,"Arson at mosque during prayer service, causing extensive damage",Adilabad,"Digital evidence (e.g., emails, text messages)",Forensic Science Division,Closed,Not convicted,No
Tripura,2017,Vandalism,Defacing a monument,Sabroom,Bank statements,Traffic Enforcement Unit,Open,Not convicted,Yes
Manipur,1997,Kidnapping,Child abduction from a playground,Ukhrul,Financial transactions,Criminal Investigation Division,Open,Not convicted,No
Odisha,1981,Child Abduction,Parental kidnapping during a custody dispute,Berhampur,Forensic analysis reports,State Police Department,Under Investigation,Convicted,No
Assam,1987,Burglary,Break-in at a suburban home,Nagaon,Photographic evidence,Special Investigations Unit,Under Investigation,Partially convicted,Yes
Kerala,1976,Money Laundering,Offshore bank accounts utilized to conceal proceeds from criminal activities,Kannur,Property ownership documents,Forensic Science Division,Under Investigation,Not convicted,Yes
Madhya Pradesh,2004,Fraud,Tax evasion,Jabalpur,Financial transactions,Fraud Investigation Unit,Open,Partially convicted,Yes
Sikkim,2012,Terrorist Attack,Chemical attack on government building leads to evacuation and decontamination efforts,Namchi,Financial transactions,City Police Department,Under Investigation,Not convicted,No
Goa,2005,Child Abduction,Amber Alert issued for missing child,Margao,"Physical evidence (e.g., fingerprints, DNA)",Highway Patrol,Closed,Partially convicted,Yes
Sikkim,2021,Terrorism,Bombing at a crowded public event,Rangpo,Forensic analysis reports,Cyber Crimes Unit,Open,Not convicted,No
Goa,2022,Sexual Assault,Sexual assault by a trusted authority figure,Vasco da Gama,Medical reports,Highway Patrol,Open,Not convicted,Yes
Telangana,2013,Terrorist Attack,Chemical attack on government building leads to evacuation and decontamination efforts,Khammam,Vehicle registration records,City Police Department,Closed,Not convicted,Yes
Punjab,1977,Organized Crime,"Gang violence escalates, leading to multiple homicides",Pathankot,Eyewitness accounts,Major Crimes Unit,Under Investigation,Partially convicted,Yes
Punjab,1987,Child Abduction,Parental kidnapping during a custody dispute,Mohali,Forensic analysis reports,Cyber Crimes Unit,Under Investigation,Convicted,No
Sikkim,1991,Drug Possession,Drug deal in a park,Rangpo,Crime scene photographs,Cyber Crimes Unit,Closed,Convicted,No
Uttar Pradesh,2014,Domestic Violence,Spousal abuse in a domestic setting,Saharanpur,Forensic analysis reports,State Police Department,Closed,Convicted,Yes
Meghalaya,1988,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Mairang,Property ownership documents,Bureau of Investigation,Closed,Not convicted,Yes
Andhra Pradesh,1970,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Kakinada,Vehicle registration records,Community Policing Unit,Closed,Not convicted,No
Punjab,2006,Vandalism,Defacing a monument,Batala,Character witness testimonies,Special Operations Division,Closed,Not convicted,Yes
Gujarat,2022,Car Theft,Carjacking of a taxi cab by a lone assailant,Vadodara,Expert witness testimony,K-9 Unit,Closed,Convicted,Yes
Rajasthan,2001,Child Abduction,Child abduction by a stranger at a playground,Sikar,"Digital evidence (e.g., emails, text messages)",Special Operations Division,Closed,Convicted,No
Meghalaya,2023,Homicide,Domestic murder-suicide,Mairang,Witness statements,K-9 Unit,Open,Partially convicted,No
Chhattisgarh,1998,Organized Crime,"Gang violence escalates, leading to multiple homicides",Rajnandgaon,Photographic evidence,Cyber Crimes Unit,Closed,Not convicted,No
Bihar,2010,Child Abduction,Parental kidnapping during a custody dispute,Bhagalpur,"Digital evidence (e.g., emails, text messages)",Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Arunachal Pradesh,2013,Fraud,Credit card fraud,Khonsa,Financial transactions,Narcotics Division,Closed,Partially convicted,Yes
Maharashtra,1973,Fraud,Insurance fraud scheme,Vasai-Virar,Vehicle registration records,Victim Services Division,Open,Convicted,Yes
Tripura,1974,Domestic Violence,Spousal abuse in a domestic setting,Ambassa,Witness statements,Narcotics Division,Under Investigation,Partially convicted,Yes
Gujarat,1998,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Jamnagar,Photographic evidence,SWAT Team,Under Investigation,Convicted,No
Goa,1973,Forgery,Forgery of legal documents for identity theft,Sanquelim,Bank statements,City Police Department,Closed,Not convicted,No
Tamil Nadu,1995,Burglary,Shoplifting at a local store,Thoothukkudi,Vehicle registration records,Major Crimes Unit,Under Investigation,Partially convicted,Yes
Uttarakhand,1992,Armed Robbery,Convenience store robbed at gunpoint by two assailants,Kashipur,Audio recordings,Victim Services Division,Open,Convicted,Yes
Goa,2007,Vandalism,Smashing car windows in a parking lot,Vasco da Gama,Eyewitness accounts,Metropolitan Police Department,Open,Convicted,Yes
Mizoram,2015,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Saitual,Crime scene photographs,Metropolitan Police Department,Open,Not convicted,Yes
Meghalaya,1991,Drug Possession,Possession of illegal substances during a traffic stop,Tura,"Physical evidence (e.g., fingerprints, DNA)",Highway Patrol,Under Investigation,Not convicted,No
West Bengal,1984,Child Abduction,Parental kidnapping during a custody dispute,Kolkata,Crime scene photographs,City Police Department,Open,Not convicted,No
Gujarat,1994,Terrorism,Cyberterrorism targeting critical infrastructure,Vadodara,Eyewitness accounts,Criminal Investigation Division,Open,Convicted,Yes
Tamil Nadu,2000,Public Intoxication,Underage drinking at a party,Erode,Confession statements,City Police Department,Under Investigation,Partially convicted,No
Goa,2011,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Mapusa,Medical reports,State Police Department,Under Investigation,Not convicted,No
Odisha,1990,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Baripada,Financial transactions,Forensic Science Division,Open,Convicted,Yes
Chhattisgarh,1978,Terrorism,Chemical attack in a subway station,Bilaspur,Medical reports,City Police Department,Under Investigation,Convicted,No
Tripura,2013,Fraudulent Schemes,Online phishing scam tricks users into revealing personal information,Kailasahar,Medical reports,Narcotics Division,Closed,Partially convicted,No
Tripura,1979,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Amarpur,Audio recordings,Forensic Science Division,Under Investigation,Partially convicted,Yes
Gujarat,2008,Theft,Package theft from porches,Junagadh,Expert witness testimony,Homicide Unit,Under Investigation,Partially convicted,No
Uttarakhand,1983,Robbery,Armed robbery at a convenience store,Haridwar,Vehicle registration records,SWAT Team,Open,Partially convicted,Yes
Arunachal Pradesh,1984,Terrorist Attack,"Terrorist plot foiled by intelligence agencies, preventing major catastrophe",Pasighat,Witness statements,Fraud Investigation Unit,Closed,Partially convicted,No
Tripura,1975,Vandalism,Smashing car windows in a parking lot,Dharmanagar,Eyewitness accounts,Major Crimes Unit,Closed,Not convicted,No
Kerala,1991,White-Collar Crime,Insider trading on the stock market,Kochi,Forensic analysis reports,Community Policing Unit,Under Investigation,Not convicted,No
Jharkhand,2023,Vandalism,Defacing a monument,Medininagar,Photographic evidence,SWAT Team,Closed,Partially convicted,No
Jharkhand,2022,Kidnapping,Hostage situation at a bank,Chirkunda,Character witness testimonies,Metropolitan Police Department,Closed,Partially convicted,Yes
Mizoram,2013,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Serchhip,Confession statements,SWAT Team,Open,Not convicted,No
Rajasthan,1992,Embezzlement,Misappropriation of funds by a financial advisor,Ajmer,Crime scene photographs,Community Policing Unit,Closed,Convicted,No
Telangana,2007,White-Collar Crime,Insider trading on the stock market,Mahbubnagar,Character witness testimonies,Special Investigations Unit,Under Investigation,Convicted,No
Bihar,1987,Burglary,Shoplifting at a local store,Bhagalpur,Forensic analysis reports,Special Operations Division,Under Investigation,Partially convicted,No
Kerala,1986,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Kozhikode,Medical reports,Community Policing Unit,Open,Not convicted,Yes
Uttar Pradesh,2015,Child Abduction,Parental kidnapping during a custody dispute,Meerut,Confession statements,K-9 Unit,Closed,Not convicted,Yes
Kerala,2003,Terrorism,Chemical attack in a subway station,Kollam,Audio recordings,Narcotics Division,Open,Partially convicted,Yes
Tripura,2007,Child Abduction,Parental kidnapping during a custody dispute,Udaipur,Character witness testimonies,Cyber Crimes Unit,Open,Convicted,No
Odisha,2023,Burglary,Office burglary during the night,Bhubaneswar,Phone records,Community Policing Unit,Closed,Partially convicted,No
Telangana,1977,Public Corruption,Government contractor charged with fraud in connection with public projects,Mancherial,Medical reports,City Police Department,Open,Not convicted,Yes
Rajasthan,1992,Domestic Violence,Child abuse within a family,Kota,Bank statements,Major Crimes Unit,Under Investigation,Partially convicted,No
West Bengal,1997,Assault,Domestic dispute turned violent,Bardhaman,Property ownership documents,Highway Patrol,Closed,Not convicted,Yes
Maharashtra,1999,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Kalyan-Dombivali,Audio recordings,Traffic Enforcement Unit,Open,Partially convicted,Yes
Uttarakhand,1978,Forgery,Check forgery at a bank,Dehradun,"Physical evidence (e.g., fingerprints, DNA)",K-9 Unit,Closed,Not convicted,No
Jharkhand,2005,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Jamshedpur,Expert witness testimony,Traffic Enforcement Unit,Under Investigation,Not convicted,Yes
Meghalaya,1972,Theft,Pickpocketing in a crowded market,Nongstoin,Witness statements,City Police Department,Under Investigation,Convicted,Yes
Mizoram,1988,Hate Crime,"Arson at mosque during prayer service, causing extensive damage",Khawzawl,Phone records,Major Crimes Unit,Closed,Convicted,No
Odisha,1995,Terrorist Attack,"Terrorist plot foiled by intelligence agencies, preventing major catastrophe",Rourkela,Character witness testimonies,K-9 Unit,Under Investigation,Convicted,Yes
Odisha,1984,Theft,Package theft from porches,Berhampur,Bank statements,Forensic Science Division,Under Investigation,Convicted,No
Meghalaya,1987,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Shillong,Financial transactions,Cyber Crimes Unit,Closed,Partially convicted,Yes
Himachal Pradesh,2005,Kidnapping,Virtual kidnapping scam,Shimla,Photographic evidence,Narcotics Division,Closed,Not convicted,Yes
Punjab,1994,Armed Robbery,Convenience store robbed at gunpoint by two assailants,Abohar,Medical reports,Narcotics Division,Open,Partially convicted,No
Himachal Pradesh,1996,Child Abduction,Parental kidnapping during a custody dispute,Mandi,Audio recordings,Bureau of Investigation,Closed,Not convicted,No
Tamil Nadu,2013,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Erode,Audio recordings,Highway Patrol,Under Investigation,Not convicted,No
Tamil Nadu,1981,Terrorism,Chemical attack in a subway station,Erode,Phone records,City Police Department,Open,Not convicted,No
Madhya Pradesh,1982,Burglary,Shoplifting at a local store,Gwalior,"Physical evidence (e.g., fingerprints, DNA)",State Police Department,Open,Not convicted,No
Himachal Pradesh,1980,Burglary,Office burglary during the night,Dharamshala,Bank statements,SWAT Team,Under Investigation,Convicted,No
Gujarat,2012,Fraudulent Schemes,Identity theft ring steals identities to open fraudulent bank accounts,Ahmedabad,Video surveillance footage,Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Rajasthan,1970,Drug Possession,Drug deal in a park,Alwar,"Digital evidence (e.g., emails, text messages)",City Police Department,Under Investigation,Convicted,Yes
West Bengal,1974,Armed Robbery,Masked gunmen hold up a bank with assault rifles,Durgapur,Expert witness testimony,Cyber Crimes Unit,Under Investigation,Partially convicted,No
Assam,2003,Drug Possession,Drug trafficking in a residential area,Guwahati,Confession statements,Homicide Unit,Closed,Partially convicted,No
Nagaland,2022,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Tuensang,Crime scene photographs,Homicide Unit,Closed,Convicted,No
Mizoram,1977,Vandalism,Defacing a monument,Aizawl,Crime scene photographs,Criminal Investigation Division,Open,Not convicted,No
Himachal Pradesh,1995,Hate Crime,Transgender person assaulted in a hate crime fueled by prejudice,Bilaspur,Witness statements,Special Investigations Unit,Closed,Partially convicted,Yes
